FullName,Legislative,PartyAbbreviation,SimplePartyAbbreviation,SimplePartyId,Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath,Image
Allemann Evi,0.0,PSS,PSS,2,False,Evi,Allemann,f,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Berne,Berne,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,2007-12-03,2011-12-04,"Köniz (BE),Welschenrohr (SO)",1978-07-16,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2583.jpg
Allemann Evi,1.0,PSS,PSS,2,False,Evi,Allemann,f,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Berne,Berne,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,2011-12-05,2015-11-29,"Köniz (BE),Welschenrohr (SO)",1978-07-16,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2583.jpg
Allemann Evi,2.0,PSS,PSS,2,False,Evi,Allemann,f,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Berne,Berne,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,2015-11-30,2018-05-28,"Köniz (BE),Welschenrohr (SO)",1978-07-16,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2583.jpg
Amacker-Amann Kathrin,0.0,PDC,PDC,4,False,Kathrin,Amacker-Amann,f,Bâle-Campagne,BL,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti démocrate-chrétien suisse,,Bâle,Bâle-Ville,Legislative der Gemeinde: Einwohnerrat Binningen seit Juli 2004; Legislative des Kantons: Landrat von Juli 2007 bis November 2007,2007-12-03,2010-11-28,"Bâle (BS),Eischoll (VS)",1962-03-30,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2671.jpg
Amarelle Cesla,1.0,PSS,PSS,2,False,Cesla,Amarelle,f,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Montevideo,,Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011,2011-12-05,2015-11-29,"Winterthur (ZH),Yverdon-les-Bains (VD)",1973-09-14,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3014.jpg
Amarelle Cesla,2.0,PSS,PSS,2,False,Cesla,Amarelle,f,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Montevideo,,Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011,2015-11-30,2017-06-14,"Winterthur (ZH),Yverdon-les-Bains (VD)",1973-09-14,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3014.jpg
Amaudruz Céline,1.0,UDC,UDC,1,False,Céline,Amaudruz,f,Genève,GE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Genève,Genève,Organe législatif cantonal: depuis octobre 2009 jusqu'à octobre 2011; Organe législatif de la commune de Puplinge: depuis mars 2011 jusqu'à mars 2015,2011-12-05,2015-11-29,Lutry (VD),1979-03-15,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2796.jpg
Amaudruz Céline,2.0,UDC,UDC,1,True,Céline,Amaudruz,f,Genève,GE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Genève,Genève,Organe législatif cantonal: depuis octobre 2009 jusqu'à octobre 2011; Organe législatif de la commune de Puplinge: depuis mars 2011 jusqu'à mars 2015,2015-11-30,2019-12-01,Lutry (VD),1979-03-15,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2796.jpg
Amherd Viola,0.0,PDC,PDC,4,False,Viola,Amherd,f,Valais,VS,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti démocrate-chrétien suisse,,Brigue,Valais,Exekutive der Gemeinde (Stadträtin) Brig-Glis: von 1993 bis 1996; Vizepräsidentin: von 1997 bis 2000; Präsidentin: von 2001 bis 2012,2007-12-03,2011-12-04,"Mund (VS),Brigue (VS),Zwischbergen (VS),Naters (VS)",1962-06-07,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2646.jpg
Amherd Viola,1.0,PDC,PDC,4,False,Viola,Amherd,f,Valais,VS,Conseil national,Groupe PDC-PEV,CE,Parti démocrate-chrétien suisse,,Brigue,Valais,Exekutive der Gemeinde (Stadträtin) Brig-Glis: von 1993 bis 1996; Vizepräsidentin: von 1997 bis 2000; Präsidentin: von 2001 bis 2012,2011-12-05,2015-11-29,"Mund (VS),Brigue (VS),Zwischbergen (VS),Naters (VS)",1962-06-07,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2646.jpg
Amherd Viola,2.0,PDC,PDC,4,False,Viola,Amherd,f,Valais,VS,Conseil national,Groupe PDC,C,Parti démocrate-chrétien suisse,,Brigue,Valais,Exekutive der Gemeinde (Stadträtin) Brig-Glis: von 1993 bis 1996; Vizepräsidentin: von 1997 bis 2000; Präsidentin: von 2001 bis 2012,2015-11-30,2018-12-31,"Mund (VS),Brigue (VS),Zwischbergen (VS),Naters (VS)",1962-06-07,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2646.jpg
Ammann Thomas,2.0,PDC,PDC,4,True,Thomas,Ammann,m,St-Gall,SG,Conseil national,Groupe PDC,C,Parti démocrate-chrétien suisse,,Altstätten,St-Gall,Exekutive (Gemeindepräsident) Rüthi (SG): 1997 -2016,2015-11-30,2019-12-01,"Kirchberg (SG),Oberriet (SG)",1964-07-13,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3056.jpg
Amstutz Adrian,0.0,UDC,UDC,1,False,Adrian,Amstutz,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Sigriswil,Berne,Exekutive der Gemeinde (Gemeinderatspräsident): von Januar 1993 bis Mai 1998; Legislative des Kantons (Grossrat): von Juni 1998 bis November 2003,2007-12-03,2011-05-29,Sigriswil (BE),1953-12-02,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2584.jpg
Amstutz Adrian,1.0,UDC,UDC,1,False,Adrian,Amstutz,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Sigriswil,Berne,Exekutive der Gemeinde (Gemeinderatspräsident): von Januar 1993 bis Mai 1998; Legislative des Kantons (Grossrat): von Juni 1998 bis November 2003,2011-12-05,2015-11-29,Sigriswil (BE),1953-12-02,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2584.jpg
Amstutz Adrian,2.0,UDC,UDC,1,True,Adrian,Amstutz,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Sigriswil,Berne,Exekutive der Gemeinde (Gemeinderatspräsident): von Januar 1993 bis Mai 1998; Legislative des Kantons (Grossrat): von Juni 1998 bis November 2003,2015-11-30,2019-12-01,Sigriswil (BE),1953-12-02,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2584.jpg
Arnold Beat,2.0,UDC,UDC,1,True,Beat,Arnold,m,Uri,UR,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Altdorf,Uri,Legislative des Kantons Uri: von September 2006 bis Juli 2010; Exekutive des Kantons Uri: von August 2010 bis Mai 2016,2015-11-30,2019-12-01,Unterschächen (UR),1978-04-24,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3057.jpg
Arslan Sibel,2.0,BastA,other,0,True,Sibel,Arslan,f,Bâle-Ville,BS,Conseil national,Groupe des Verts,G,Basels starke Alternative,,Erzincan,,"Ehem. Grossrätin Kanton Basel-Stadt; Mitglied der Justiz-, Sicherheits- und Sportkommission (JSSK); Mitglied der Begnadigungskommission; Ehem. Fraktionspräsidentin Grünes Bündnis Basel-Stadt",2015-11-30,2019-12-01,Bâle (BS),1980-06-23,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3058.jpg
Aubert Josiane,0.0,PSS,PSS,2,False,Josiane,Aubert,f,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Le Chenit,Vaud,Législatif communal de Le Chenit: depuis 1992 jusqu'à décembre 2007; Législatif cantonal: Constituante depuis avril 1999 jusqu'à mai 2002 et députée depuis mai 2002 jusqu'à janvier 2008,2007-12-03,2011-12-04,Le Chenit (VD),1949-04-07,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2668.jpg
Aubert Josiane,1.0,PSS,PSS,2,False,Josiane,Aubert,f,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Le Chenit,Vaud,Législatif communal de Le Chenit: depuis 1992 jusqu'à décembre 2007; Législatif cantonal: Constituante depuis avril 1999 jusqu'à mai 2002 et députée depuis mai 2002 jusqu'à janvier 2008,2011-12-05,2014-06-01,Le Chenit (VD),1949-04-07,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2668.jpg
Baader Caspar,0.0,UDC,UDC,1,False,Caspar,Baader,m,Bâle-Campagne,BL,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Bâle,Bâle-Ville,Exekutive der Gemeinde Bannwil: von 1983 bis 1986,2007-12-03,2011-12-04,Gelterkinden (BL),1953-10-01,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2454.jpg
Baader Caspar,1.0,UDC,UDC,1,False,Caspar,Baader,m,Bâle-Campagne,BL,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Bâle,Bâle-Ville,Exekutive der Gemeinde Bannwil: von 1983 bis 1986,2011-12-05,2014-07-31,Gelterkinden (BL),1953-10-01,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2454.jpg
Bader Elvira,0.0,PDC,PDC,4,False,Elvira,Bader,f,Soleure,SO,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti démocrate-chrétien suisse,,Mümliswil,Soleure,Legislative des Kantons (Kantonsrätin): von 1997  bis 1999,2007-12-03,2011-12-04,Holderbank (SO),1955-03-04,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2474.jpg
Badran Jacqueline,1.0,PSS,PSS,2,False,Jacqueline,Badran,f,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Sydney,,Parlament der Stadt Zürich: von Mai 2002 bis November 2011,2011-12-05,2015-11-29,"Auswil (BE),Zurich (ZH)",1961-11-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2762.jpg
Badran Jacqueline,2.0,PSS,PSS,2,True,Jacqueline,Badran,f,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Sydney,,Parlament der Stadt Zürich: von Mai 2002 bis November 2011,2015-11-30,2019-12-01,"Auswil (BE),Zurich (ZH)",1961-11-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2762.jpg
Baettig Dominique,0.0,UDC,UDC,1,False,Dominique,Baettig,m,Jura,JU,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Delémont,Jura,Législatif communal de Delémont: depuis janvier 2005; Législatif cantonal: député suppléant depuis décembre 2006,2007-12-03,2011-12-04,Rickenbach (LU),1953-09-22,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2673.jpg
Bänziger Marlies,0.0,PES,PES,6,False,Marlies,Bänziger,f,Zurich,ZH,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Winterthur,Zurich,Legislative der Gemeinde Winterthur: Mai 1990 bis Febraur 1997; Legislative des Kantons Zürich: Verfassungsrat von Sommer 2000 bis Februar 2005,2007-12-03,2011-12-04,"Winterthur (ZH),Heiden (AR),Schüpfen (BE)",1960-03-14,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2672.jpg
Barazzone Guillaume,1.0,PDC,PDC,4,False,Guillaume,Barazzone,m,Genève,GE,Conseil national,Groupe PDC-PEV,CE,Parti démocrate-chrétien suisse,,Genève,Genève,"Membre de l'Exécutif de la Ville de Genève (Conseiller administratif, responsable du département de l'environnement urbain et de la sécurité); ancien Maire de la Ville de Genève (2016-2017)",2013-12-09,2015-11-29,Avusy (GE),1982-01-13,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3040.jpg
Barazzone Guillaume,2.0,PDC,PDC,4,True,Guillaume,Barazzone,m,Genève,GE,Conseil national,Groupe PDC,C,Parti démocrate-chrétien suisse,,Genève,Genève,"Membre de l'Exécutif de la Ville de Genève (Conseiller administratif, responsable du département de l'environnement urbain et de la sécurité); ancien Maire de la Ville de Genève (2016-2017)",2015-11-30,2019-12-01,Avusy (GE),1982-01-13,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3040.jpg
Barrile Angelo,2.0,PSS,PSS,2,True,Angelo,Barrile,m,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Winterthur,Zurich,Legislative des Kantons Zürich: von August 2010 bis November 2015,2015-12-08,2019-12-01,Pfungen (ZH),1976-08-22,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3104.jpg
Barthassat Luc,1.0,PDC,PDC,4,False,Luc,Barthassat,m,Genève,GE,Conseil national,Groupe PDC-PEV,CE,Parti démocrate-chrétien suisse,,Bardonnex,Genève,Grand Conseil: depuis octobre 1993 jusqu'à juillet 2007,2011-12-05,2013-12-05,Bardonnex (GE),1960-09-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2649.jpg
Barthassat Luc,0.0,PDC,PDC,4,False,Luc,Barthassat,m,Genève,GE,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti démocrate-chrétien suisse,,Bardonnex,Genève,Grand Conseil: depuis octobre 1993 jusqu'à juillet 2007,2007-12-03,2011-12-04,Bardonnex (GE),1960-09-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2649.jpg
Bauer Philippe,2.0,PLR,PLR,3,True,Philippe,Bauer,m,Neuchâtel,NE,Conseil national,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,,Neuchâtel,Neuchâtel,Député au Grand Conseil neuchâtelois: jusqu'à octobre 2015,2015-11-30,2019-12-01,Neuchâtel (NE),1962-04-09,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3059.jpg
Baumann J. Alexander,0.0,UDC,UDC,1,False,J. Alexander,Baumann,m,Thurgovie,TG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Zurich,Zurich,Legislative des Kantons: Grosser Rat Thurgau von 1988 bis 1995,2007-12-03,2011-12-04,Flüelen (UR),1942-12-10,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2369.jpg
Bäumle Martin,0.0,PVL,PVL,7,False,Martin,Bäumle,m,Zurich,ZH,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti vert'libéral,,Thalwil,Zurich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,2007-12-03,2011-12-04,"Hombrechtikon (ZH),Zurich (ZH),Dübendorf (ZH)",1964-06-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2585.jpg
Bäumle Martin,1.0,PVL,PVL,7,False,Martin,Bäumle,m,Zurich,ZH,Conseil national,Groupe vert'libéral,GL,Parti vert'libéral,,Thalwil,Zurich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,2011-12-05,2015-11-29,"Hombrechtikon (ZH),Zurich (ZH),Dübendorf (ZH)",1964-06-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2585.jpg
Bäumle Martin,2.0,PVL,PVL,7,True,Martin,Bäumle,m,Zurich,ZH,Conseil national,Groupe vert'libéral,GL,Parti vert'libéral,,Thalwil,Zurich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,2015-11-30,2019-12-01,"Hombrechtikon (ZH),Zurich (ZH),Dübendorf (ZH)",1964-06-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2585.jpg
Béglé Claude,2.0,PDC,PDC,4,True,Claude,Béglé,m,Vaud,VD,Conseil national,Groupe PDC,C,Parti démocrate-chrétien suisse,,Berne,Berne,,2015-11-30,2019-12-01,"Liestal (BL),Lausanne (VD)",1949-12-04,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3060.jpg
Bendahan Samuel,2.0,PSS,PSS,2,True,Samuel,Bendahan,m,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Lausanne,Vaud,Conseil communal (législatif) de Lausanne: de juillet 2011 à juin 2012; Grand Conseil (législatif) du canton de Vaud: de juillet 2012 à juin 2017,2017-06-15,2019-12-01,Seengen (AG),1980-06-11,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3114.jpg
Berberat Didier,0.0,PSS,PSS,2,False,Didier,Berberat,m,Neuchâtel,NE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,La Chaux-de-Fonds,Neuchâtel,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,2007-12-03,2009-09-20,Montignez (JU),1956-12-01,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2370.jpg
Bertschy Kathrin,1.0,PVL,PVL,7,False,Kathrin,Bertschy,f,Berne,BE,Conseil national,Groupe vert'libéral,GL,Parti vert'libéral,,Thoune,Berne,Legislative der Stadt Bern: von Januar 2009 bis Dezember 2011,2011-12-05,2015-11-29,"Guin (FR),Berne (BE)",1979-07-02,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3016.jpg
Bertschy Kathrin,2.0,PVL,PVL,7,True,Kathrin,Bertschy,f,Berne,BE,Conseil national,Groupe vert'libéral,GL,Parti vert'libéral,,Thoune,Berne,Legislative der Stadt Bern: von Januar 2009 bis Dezember 2011,2015-11-30,2019-12-01,"Guin (FR),Berne (BE)",1979-07-02,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3016.jpg
Bigger Elmar,0.0,UDC,UDC,1,False,Elmar,Bigger,m,St-Gall,SG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Vilters,St-Gall,Legislative des Kantons (Kantonsrat): von 1996 bis 2000,2007-12-03,2011-12-04,Vilters (SG),1949-10-05,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2476.jpg
Bigler Hans-Ulrich,2.0,PLR,PLR,3,True,Hans-Ulrich,Bigler,m,Zurich,ZH,Conseil national,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,,Berne,Berne,,2015-12-08,2019-12-01,Worb (BE),1958-04-05,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3110.jpg
Bignasca Attilio,0.0,Lega,Lega,9,False,Attilio,Bignasca,m,Tessin,TI,Conseil national,Groupe de l'Union démocratique du Centre,V,Lega dei Ticinesi,,Viganello,Tessin,Legislativo comunale: da aprile 1992; legislativo cantonale: da aprile 1991(presidente: 2002/2003),2007-12-03,2009-12-31,Sonvico (TI),1943-11-01,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2586.jpg
Binder Max,0.0,UDC,UDC,1,False,Max,Binder,m,Zurich,ZH,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Illnau-Effretikon,Zurich,Legislative der Gemeinde (Grosser Gemeinderat): von 1985 bis 1990; Exekutive der Gemeinde: Stadtrat (Vizepräsident): seit 1990; Legislative des Kantons (Kantonsrat): von 1991 bis 1992,2007-12-03,2011-12-04,Illnau-Effretikon (ZH),1947-11-26,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2270.jpg
Binder Max,1.0,UDC,UDC,1,False,Max,Binder,m,Zurich,ZH,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Illnau-Effretikon,Zurich,Legislative der Gemeinde (Grosser Gemeinderat): von 1985 bis 1990; Exekutive der Gemeinde: Stadtrat (Vizepräsident): seit 1990; Legislative des Kantons (Kantonsrat): von 1991 bis 1992,2011-12-05,2015-11-29,Illnau-Effretikon (ZH),1947-11-26,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2270.jpg
Birrer-Heimo Prisca,0.0,PSS,PSS,2,False,Prisca,Birrer-Heimo,f,Lucerne,LU,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Emmen,Lucerne,Exekutive der Gemeinde (Gemeinderätin) Rothenburg: von August 2007 bis Mai 2014 Finzanzvorsteherin; Legislative des Kantons (Grossrätin): von Juni 1995 bis Mai 2005,2010-05-31,2011-12-04,Emmen (LU),1959-02-04,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2743.jpg
Birrer-Heimo Prisca,1.0,PSS,PSS,2,False,Prisca,Birrer-Heimo,f,Lucerne,LU,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Emmen,Lucerne,Exekutive der Gemeinde (Gemeinderätin) Rothenburg: von August 2007 bis Mai 2014 Finzanzvorsteherin; Legislative des Kantons (Grossrätin): von Juni 1995 bis Mai 2005,2011-12-05,2015-11-29,Emmen (LU),1959-02-04,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2743.jpg
Birrer-Heimo Prisca,2.0,PSS,PSS,2,True,Prisca,Birrer-Heimo,f,Lucerne,LU,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Emmen,Lucerne,Exekutive der Gemeinde (Gemeinderätin) Rothenburg: von August 2007 bis Mai 2014 Finzanzvorsteherin; Legislative des Kantons (Grossrätin): von Juni 1995 bis Mai 2005,2015-11-30,2019-12-01,Emmen (LU),1959-02-04,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2743.jpg
Bischof Pirmin,0.0,PDC,PDC,4,False,Pirmin,Bischof,m,Soleure,SO,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti démocrate-chrétien suisse,,Soleure,Soleure,Exekutive der Gemeinde (Gemeinderat) Solothurn: seit Mai 1997; Legislative des Kantons (Kantonsrat): von April 2005 bis November 2007,2007-12-03,2011-12-04,"Eggersriet (SG),Grub (SG)",1959-02-24,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2674.jpg
Bischof Pirmin,1.0,PDC,PDC,4,False,Pirmin,Bischof,m,Soleure,SO,Conseil national,Groupe PDC-PEV,CE,Parti démocrate-chrétien suisse,,Soleure,Soleure,Exekutive der Gemeinde (Gemeinderat) Solothurn: seit Mai 1997; Legislative des Kantons (Kantonsrat): von April 2005 bis November 2007,2011-12-05,2011-12-11,"Eggersriet (SG),Grub (SG)",1959-02-24,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2674.jpg
